ID Estacion,Autoridad Ambiental,Estacion,Latitud,Longitud,Variable,Unidades,Tiempo de exposición (horas),a�o,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Fechas/horas del maximo,Minimo,Fechas/horas del mi�nimo,Dias de excedencias,Codigo del Departamento,Nombre del Departamento,Codigo del Municipio,Nombre del Municipio,Tipo de Estacion
"9,049",CORPOCESAR,ZM11 MINGUILLO,9.940778,-73.500592,PM10,ugm3,24,"2,011",17.5,"1,138.19",65,53,0,0,17.9,32.6,37.5,7/4/2011,3,3/12/2011,0,20,CESAR,20621,LA PAZ,Fija
"30,423",CORANTIOQUIA,CA. BELLO 2011,6.316667,-75.538333,PM10,ugm3,24,"2,011",17.8,89.14,5,4,0,0,16.6,26.6,26.9,21/12/2011,7.4,27/12/2011,0,5,ANTIOQUIA,5088,BELLO,Indicativa
"9,052",CORPOCESAR,ZM14 ESTADOS UNIDOS,9.626389,-73.209694,PM10,ugm3,24,"2,011",14.9,567.61,38,31,0,0,12.5,38,39.5,14/08/2011,2,3/12/2011,0,20,CESAR,20045,BECERRIL,Fija
"8,241",CORNARE,ZONA FRANCA,6.152354,-75.418438,PM10,ugm3,24,"2,011",16.6,"1,028.88",62,17,0,0,14,34.2,38.9,24/01/2011,6.5,26/06/2011,0,5,ANTIOQUIA,5615,RIONEGRO,Indicativa
"30,420",CORANTIOQUIA,CA. STA. ELENA 2011,6.210278,-75.497778,PM10,ugm3,24,"2,011",18.3,128,7,4,0,0,15,30.5,31,16/03/2011,12,12/3/2011,0,5,ANTIOQUIA,5001,MEDELLÍN,Indicativa
"9,025",AMVA,ÉXITO SAN ANTONIO,6.249333,-75.57025,PM10,ugm3,1,"2,012",50.1,"340,506.75","6,791",77,0,0,46,106.6,248.5,1/2/2012 13:00,5.5,26/08/2012 16:00,0,5,ANTIOQUIA,5001,MEDELLÍN,Fija
"9,025",AMVA,ÉXITO SAN ANTONIO,6.249333,-75.57025,PM10,ugm3,24,"2,012",50.1,"14,082.22",281,77,1,0.36,50.3,78.7,106.6,10/3/2012 0:00,13.4,26/08/2012 0:00,1,5,ANTIOQUIA,5001,MEDELLÍN,Fija
"8,805",CORPONARIÑO,UNIMAR,1.223796,-77.283628,PM10,ugm3,24,"2,011",19.5,"2,257.88",116,95,0,0,18.3,51.8,62.5,6/1/2011,1.2,3/1/2011,0,52,NARIÑO,52001,PASTO,Fija
"26,178",CORPAMAG,ZUANA,11.140901,-74.226548,PM10,ugm3,24,"2,011",20.7,"1,301.90",63,52,0,0,19.3,35.5,40.4,31/03/2011,11.9,24/04/2011,0,47,MAGDALENA,47001,SANTA MARTA,Fija
"26,182",CORPAMAG,ALCATRACES,11.085883,-74.217418,PM10,ugm3,24,"2,011",20.9,"2,025.10",97,80,0,0,19.4,38.9,44.8,4/3/2011,10.2,1/3/2011,0,47,MAGDALENA,47001,SANTA MARTA,Fija
"9,144",CRQ,COMFENALCO,4.535556,-75.671111,PM10,ugm3,24,"2,011",21.2,"1,360",64,18,0,0,22,26,26,02/02/2011 - 03/02/2011 - 26/02/2011,15,16/01/2011,0,63,QUINDÍO,63001,ARMENIA,Fija
"99,999",CORPOCALDAS,LICORERA,5.068541,-75.517201,PM10,ugm3,24,"2,011",21.5,"2,296.39",107,88,0,0,21.6,34.4,37.4,8/9/2011,7.1,23/04/2011,0,17,CALDAS,17001,MANIZALES,Fija
"19,664",CARDER,RÍO RISARALDA,4.930789,-75.863733,PM10,ugm3,24,"2,011",21.7,"1,304.82",60,49,0,0,20.6,43.7,44.1,1/8/2011,5.2,23/12/2011,0,66,RISARALDA,66400,LA VIRGINIA,Fija
"30,004",DAGMA,ERA OBRERO,3.450419,-76.522267,PM10,ugm3,1,"2,011",21.7,"146,899","6,784",77,0,0,16,74,125,10/5/2011 10:00,1,17/09/2011 03:00:00 - continúa...,0,76,VALLE DEL CAUCA,76001,CALI,Fija
"26,185",CORTOLIMA,CLÍNICA TOLIMA,4.441631,-75.2414,PM10,ugm3,24,"2,011",22.1,"2,278",103,84,0,0,21,33,36,18/07/2011,12,6/11/2011,0,73,TOLIMA,73001,IBAGUÉ,Fija
"9,019",CRC,EDIFICIO EDGAR NEGRET,2.445161,-76.605444,PM10,ugm3,24,"2,011",22.1,642.07,29,16,0,0,20,40.5,43.3,17/09/2011,9.6,29/08/2011,0,19,CAUCA,19001,POPAYÁN,Fija
"30,004",DAGMA,ERA OBRERO,3.450419,-76.522267,PM10,ugm3,24,"2,011",22.1,"6,060.89",274,75,0,0,22.1,46,51.3,10/5/2011 0:00,1.9,22/04/2011 0:00,0,76,VALLE DEL CAUCA,76001,CALI,Fija
"30,421",CORANTIOQUIA,CA. AMAGA 2011,6.020556,-75.699722,PM10,ugm3,24,"2,011",22.3,156,7,6,0,0,20,30.8,31,5/12/2011,14,18/11/2011,0,5,ANTIOQUIA,5030,AMAGÁ,Indicativa
"9,148",CORNARE,RIONEGRO-IMUSA,6.18,-75.3675,PM10,ugm3,24,"2,011",22.8,547.8,24,20,0,0,22.4,33,33.5,2/11/2011,12.7,5/11/2011,0,5,ANTIOQUIA,5615,RIONEGRO,Indicativa
"26,175",CORPAMAG,CLUB SANTA MARTA,11.240446,-74.216389,PM10,ugm3,24,"2,011",23.5,"2,255.50",96,79,0,0,21.6,46.6,54.6,23/12/2011,10.9,11/6/2011,0,47,MAGDALENA,47001,SANTA MARTA,Fija
"9,053",CORPOCESAR,ESTACIÓN CHIRIGUANÁ,9.363639,-73.607083,PM10,ugm3,24,"2,011",24.7,"8,359.43",338,93,0,0,22,51.6,64.9,28/12/2011,6,13/07/2011,0,20,CESAR,20178,CHIRIGUANÁ,Fija
"8,239",CORNARE,HOSPITAL GUARNE,6.281944,-75.444722,PM10,ugm3,24,"2,011",25.4,"1,425.16",56,46,0,0,24,46.1,47.2,24/01/2011,13.1,18/10/2011,0,5,ANTIOQUIA,5318,GUARNE,Indicativa
"9,050",CORPOCESAR,RINCÓN HONDO,9.393972,-73.490083,PM10,ugm3,24,"2,011",25.9,"2,719.41",105,86,0,0,23.6,62.4,67.1,3/2/2011,5.3,20/08/2011,0,20,CESAR,20178,CHIRIGUANÁ,Fija
"26,180",CORPAMAG,CARBOGRANELES,11.108296,-74.223872,PM10,ugm3,24,"2,011",26.1,"2,762.10",106,87,0,0,24,54,56.1,15/04/2011,10.9,09/04/2011 - 06/09/2011,0,47,MAGDALENA,47001,SANTA MARTA,Fija
"9,117",CAM,CAM NORTE,2.9625,-75.297467,PM10,ugm3,24,"2,011",26.4,"3,328.03",126,69,0,0,23.7,59,76,20/02/2011,5.3,6/12/2011,0,41,HUILA,41001,NEIVA,Fija
